Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH_mean,Pack_SOH_median,Pack_SOH_std,Pack_SOH_min,Pack_SOH_max,Pack_SOH_skew,Predicted_SOH,Predicted_Health_Status
NMC,46,J1-100,2.1,1.9212,5,20,18.29714285714285,3.6154,3.6321,3.6452,3.6259,3.617,3.5987,3.5869,3.6052,3.6151,3.6529,3.6737,3.6371,3.6179,3.581,3.5571,3.5943,3.6145,3.6914,3.7282,3.6545,3.6201,0.9148571428571428,3.6268666666666665,3.6179,0.0387782971948657,3.5571,3.7282,0.8378974247131871,0.9407760995360448,Healthy
NMC,47,J1-200,2.1,1.8448,5,20,17.569523809523808,3.6219,3.6387,3.6554,3.6362,3.6232,3.6049,3.5887,3.607,3.6213,3.6582,3.6873,3.6517,3.6247,3.5881,3.5546,3.5915,3.6207,3.696,3.7468,3.674,3.6269,0.8784761904761904,3.634180952380952,3.6247,0.0429972745537158,3.5546,3.7468,0.7498779777836544,0.8785659394595219,Healthy
NMC,48,J1-300,2.1,1.7948,5,20,17.093333333333334,3.6287,3.6452,3.6641,3.6464,3.63,3.612,3.5934,3.6123,3.6281,3.6641,3.6972,3.6607,3.6312,3.5937,3.5568,3.5949,3.6272,3.6982,3.7586,3.6883,3.634,0.8546666666666666,3.6411952380952384,3.6312,0.0448081518943871,3.5568,3.7586,0.7002723713388749,0.8420926634538587,Healthy
NMC,49,J1-400,2.1,1.7234,5,20,16.413333333333334,3.6383,3.656,3.6755,3.6588,3.6399,3.6216,3.5996,3.6188,3.6368,3.674,3.7096,3.6734,3.6411,3.6024,3.559,3.6005,3.6362,3.7103,3.7704,3.6988,3.6442,0.8206666666666667,3.6507238095238095,3.6411,0.0468912028504484,3.559,3.7704,0.5727998381307637,0.8243082421298656,Healthy
NMC,50,J1-500,2.1,1.6197,5,20,15.425714285714283,3.6501,3.6687,3.6876,3.6684,3.652,3.6365,3.6117,3.6297,3.6489,3.6876,3.7211,3.6842,3.6532,3.6148,3.5717,3.6108,3.648,3.7245,3.7819,3.7137,3.6569,0.7712857142857142,3.66295238095238,3.6532,0.047041467016321,3.5717,3.7819,0.5676688861117238,0.7881710834625864,Healthy
NMC,51,J1-600,2.1,1.469,5,20,13.99047619047619,3.6653,3.6836,3.7053,3.687,3.6678,3.6504,3.6225,3.6402,3.6638,3.7031,3.7397,3.7053,3.6703,3.63,3.5751,3.612,3.6622,3.7329,3.8011,3.7286,3.6749,0.6995238095238095,3.677195238095238,3.6703,0.0500294860676229,3.5751,3.8011,0.366108605244939,0.7282415511722542,Healthy
NMC,52,J2-100,2.1,1.9156,5,20,18.24380952380952,3.6166,3.6359,3.6492,3.6275,3.6179,3.5984,3.585,3.6067,3.6166,3.6566,3.6802,3.638,3.6188,3.5776,3.5525,3.5959,3.6154,3.6972,3.7403,3.6594,3.6213,0.912190476190476,3.6289047619047614,3.6188,0.0422039628019748,3.5525,3.7403,0.8416564913665249,0.8689488135990481,Healthy
NMC,53,J2-200,2.1,1.8418,5,20,17.54095238095238,3.6244,3.6445,3.6619,3.6405,3.6256,3.6086,3.5869,3.6073,3.6238,3.665,3.6966,3.6551,3.6266,3.5856,3.5484,3.5881,3.6232,3.6969,3.762,3.6836,3.6294,0.8770476190476191,3.637333333333333,3.6266,0.0472417329628511,3.5484,3.762,0.7060529705332331,0.8183601059524445,Healthy
NMC,54,J2-300,2.1,1.7876,5,20,17.024761904761906,3.63,3.648,3.6684,3.648,3.6315,3.6129,3.5909,3.6108,3.6294,3.6675,3.7047,3.6638,3.6328,3.5921,3.5509,3.5921,3.6287,3.705,3.7704,3.6917,3.6356,0.8512380952380952,3.643104761904762,3.6328,0.0485550973244877,3.5509,3.7704,0.6876238466169016,0.7960539159429155,Healthy
NMC,55,J2-400,2.1,1.7164,5,20,16.346666666666664,3.6393,3.6604,3.6796,3.6616,3.6411,3.6216,3.5971,3.617,3.638,3.6814,3.7155,3.6755,3.6427,3.6033,3.5531,3.59,3.6371,3.7143,3.7803,3.7038,3.6458,0.8173333333333332,3.652309523809523,3.6427,0.0506852335967972,3.5531,3.7803,0.506705634185538,0.7712718289443122,Healthy
